player,nationality,position,team,comp_level,age,birth_year,games,playing_games_starts,playing_minutes,playing_minutes_90s,playing_goals,performance_assists,performance_goals_assists,performance_goals_pens,performance_pens_made,performance_pens_att,performance_cards_yellow,performance_cards_red,performance_xg,expected_npxg,expected_xg_assist,expected_npxg_xg_assist,expected_progressive_carries,progression_progressive_passes,progression_progressive_passes_received,progression_goals_per90,per90_assists_per90,per90_goals_assists_per90,per90_goals_pens_per90,per90_goals_assists_pens_per90,per90_xg_per90,per90_xg_assist_per90,per90_xg_xg_assist_per90,per90_npxg_per90,per90_npxg_xg_assist_per90,per90_matches,minutes_90s,tackles,tackles_tackles_won,tackles_tackles_def_3rd,tackles_tackles_mid_3rd,tackles_tackles_att_3rd,tackles_challenge_tackles,challenges_challenges,challenges_challenge_tackles_pct,challenges_challenges_lost,challenges_blocks,blocks_blocked_shots,blocks_blocked_passes,blocks_interceptions,tackles_interceptions,clearances,errors,sca,sca_sca_per90,sca_sca_passes_live,sca_types_sca_passes_dead,sca_types_sca_take_ons,sca_types_sca_shots,sca_types_sca_fouled,sca_types_sca_defense,sca_types_gca,gca_gca_per90,gca_gca_passes_live,gca_types_gca_passes_dead,gca_types_gca_take_ons,gca_types_gca_shots,gca_types_gca_fouled,gca_types_gca_defense,gca_types_matches,minutes_90s,cards_yellow,performance_cards_yellow_red,performance_fouls,performance_fouled,performance_offsides,performance_crosses,performance_interceptions,performance_tackles_won,performance_pens_won,performance_pens_conceded,performance_own_goals,performance_ball_recoveries,performance_aerials_won,aerials_aerials_lost,aerials_aerials_won_pct,aerials_matches,goals,standard_shots,standard_shots_on_target,standard_shots_on_target_pct,standard_shots_per90,standard_shots_on_target_per90,standard_goals_per_shot,standard_goals_per_shot_on_target,standard_average_shot_distance,standard_shots_free_kicks,standard_pens_made,standard_pens_att,standard_xg,expected_npxg_per_shot,expected_xg_net,expected_npxg_net,expected_matches,minutes_90s,passes_completed,passes_total_passes,passes_total_passes_pct,passes_total_passes_total_distance,passes_total_passes_progressive_distance,passes_total_passes_completed_short,passes_short_passes_short,passes_short_passes_pct_short,passes_short_passes_completed_medium,passes_medium_passes_medium,passes_medium_passes_pct_medium,passes_medium_passes_completed_long,passes_long_passes_long,passes_long_passes_pct_long,passes_long_assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,touches,touches_touches_def_pen_area,touches_touches_def_3rd,touches_touches_mid_3rd,touches_touches_att_3rd,touches_touches_att_pen_area,touches_touches_live_ball,touches_take_ons,take_ons_take_ons_won,take_ons_take_ons_won_pct,take_ons_take_ons_tackled,take_ons_take_ons_tackled_pct,take_ons_carries,carries_carries_distance,carries_carries_progressive_distance,carries_progressive_carries,carries_carries_into_final_third,carries_carries_into_penalty_area,carries_miscontrols,carries_dispossessed,carries_passes_received,receiving_progressive_passes_received,receiving_matches,playing_minutes_per_game,playing_minutes_pct,starts_minutes_per_start,starts_games_complete,starts_games_subs,subs_minutes_per_sub,subs_unused_subs,subs_points_per_game,team_success_on_goals_for,team_success_on_goals_against,team_success_plus_minus,team_success_plus_minus_per90,team_success_plus_minus_wowy,team_success_on_xg_for,xg_team_success_on_xg_against,xg_team_success_xg_plus_minus,xg_team_success_xg_plus_minus_per90,xg_team_success_xg_plus_minus_wowy,xg_team_success_matches,year_of_stat
Mohamed Fares,dz ALG,DF,Lazio,it Serie A,24,1996,21,12,"1,139",12.7,0,1,1,0,0,0,5,0,0.7,0.5,1.9,2.5,26,24,114,0.00,0.08,0.08,0.00,0.08,0.05,0.15,0.21,0.04,0.20,Matches,12.7,20,15,9,7,4,11,19,57.9,8,14,1,13,16,36,21,0,32,2.53,26,2,2,1,0,1,3,0.24,2,0,0,1,0,0,Matches,12.7,5,0,28,7,2,60,16,15,0,1,0,68,10,15,40.0,Matches,0,14,4,28.6,1.11,0.32,0.00,0.00,18.7,0,0,0,0.7,0.04,-0.7,-0.5,Matches,12.7,412,540,76.3,6084,1520,227,254,89.4,132,175,75.4,25,55,45.5,1,1.9,1.5,-0.9,14,27,16,14,24,685,27,167,262,263,21,685,18,6,33.3,12,66.7,362,1753,916,26,20,4,19,6,409,114,Matches,54,33.3,68,3,9,36,6,1.71,17,21,-4,-0.32,-0.71,17.8,18.0,-0.2,-0.02,-0.45,Matches,CURRENT
Diego Farias,br BRA,FW,Spezia,it Serie A,30,1990,29,17,"1,514",16.8,4,2,6,4,0,0,5,0,3.2,3.2,3.6,6.7,47,67,131,0.24,0.12,0.36,0.24,0.36,0.19,0.21,0.40,0.19,0.40,Matches,16.8,9,5,4,1,4,4,21,19.0,17,12,0,12,13,22,3,0,59,3.50,46,0,5,4,3,1,4,0.24,2,0,0,2,0,0,Matches,16.8,5,0,18,15,2,21,13,5,0,0,0,59,8,4,66.7,Matches,4,32,10,31.3,1.90,0.59,0.13,0.40,16.9,2,0,0,3.2,0.10,+0.8,+0.8,Matches,16.8,530,654,81.0,9082,1743,268,311,86.2,199,241,82.6,52,62,83.9,2,3.6,3.2,-1.6,32,33,19,3,67,784,5,79,336,375,77,784,26,18,69.2,8,30.8,521,2829,1261,47,21,26,26,11,639,131,Matches,52,44.3,72,5,12,24,4,1.00,28,31,-3,-0.18,+0.62,22.8,30.8,-8.0,-0.48,+0.02,Matches,CURRENT
Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,22,1998,3,1,107,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,,0.0,0.0,Matches,1.2,18,28,64.3,431,289,7,7,100.0,4,4,100.0,6,16,37.5,0,0.0,0.0,0.0,0,0,0,0,0,33,30,32,1,0,0,33,0,0,,0,,16,61,47,0,0,0,0,0,5,0,Matches,36,3.1,90,1,2,9,35,2.00,1,3,-2,-1.68,-1.76,2.2,2.3,-0.1,-0.07,-0.33,Matches,CURRENT
Noah Fatar,fr FRA,"FW,MF",Angers,fr Ligue 1,18,2002,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0.2,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,,0.0,0.0,Matches,0.2,7,9,77.8,101,1,4,5,80.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,14,0,2,5,7,0,14,2,0,0.0,2,100.0,10,53,21,0,1,0,1,1,9,2,Matches,11,0.6,,0,2,11,5,0.50,0,1,-1,-4.29,-3.84,0.1,0.3,-0.2,-0.86,-0.58,Matches,CURRENT
Ansu Fati,es ESP,FW,Barcelona,es La Liga,17,2002,7,6,431,4.8,4,0,4,4,0,0,1,0,1.8,1.8,1.7,3.5,32,12,60,0.84,0.00,0.84,0.84,0.84,0.37,0.36,0.73,0.37,0.73,Matches,4.8,9,4,2,4,3,2,10,20.0,8,4,0,4,3,12,1,0,21,4.37,13,1,2,0,5,0,4,0.83,2,0,1,0,1,0,Matches,4.8,1,0,6,11,2,4,3,4,2,0,0,13,2,4,33.3,Matches,4,14,7,50.0,2.92,1.46,0.29,0.57,15.5,0,0,0,1.8,0.13,+2.2,+2.2,Matches,4.8,168,202,83.2,1697,333,105,118,89.0,28,36,77.8,1,1,100.0,0,1.7,1.3,-1.7,9,3,6,0,12,270,0,12,86,174,39,270,23,11,47.8,12,52.2,183,1296,700,32,16,21,11,8,226,60,Matches,62,12.6,67,0,1,29,0,1.57,10,5,+5,+1.04,-0.22,7.9,5.4,+2.5,+0.51,-0.40,Matches,CURRENT
Julien Faussurier,fr FRA,DF,Brest,fr Ligue 1,33,1987,17,9,955,10.6,0,3,3,0,0,0,2,0,0.4,0.4,2.2,2.6,28,56,63,0.00,0.28,0.28,0.00,0.28,0.04,0.21,0.24,0.04,0.24,Matches,10.6,16,11,6,8,2,11,25,44.0,14,12,4,8,9,25,10,0,31,2.92,27,3,0,0,0,1,6,0.56,6,0,0,0,0,0,Matches,10.6,2,0,12,6,1,52,9,11,0,1,0,63,8,8,50.0,Matches,0,5,2,40.0,0.47,0.19,0.00,0.00,14.6,0,0,0,0.4,0.08,-0.4,-0.4,Matches,10.6,455,608,74.8,9117,3906,178,201,88.6,189,235,80.4,80,134,59.7,3,2.2,2.6,+0.8,22,35,33,22,56,688,30,196,291,205,16,688,9,5,55.6,4,44.4,364,1606,922,28,8,5,14,3,389,63,Matches,56,27.9,88,7,8,20,12,1.00,18,19,-1,-0.09,+0.45,16.2,12.9,+3.3,+0.31,+0.73,Matches,CURRENT
Andrea Favilli,it ITA,FW,Hellas Verona,it Serie A,23,1997,11,2,339,3.8,2,0,2,2,0,0,1,0,1.6,1.6,0.1,1.7,7,2,37,0.53,0.00,0.53,0.53,0.53,0.42,0.03,0.44,0.42,0.44,Matches,3.8,3,1,0,1,2,2,3,66.7,1,2,0,2,0,3,2,0,7,1.86,6,0,1,0,0,0,1,0.27,1,0,0,0,0,0,Matches,3.8,1,0,14,8,9,0,0,1,0,0,0,8,17,27,38.6,Matches,2,13,4,30.8,3.45,1.06,0.15,0.50,13.3,0,0,0,1.6,0.12,+0.4,+0.4,Matches,3.8,54,80,67.5,803,104,27,41,65.9,17,21,81.0,5,6,83.3,0,0.1,0.1,-0.1,2,3,1,0,2,143,2,4,61,81,22,143,7,3,42.9,4,57.1,89,427,104,7,6,3,22,15,127,37,Matches,31,9.9,75,1,9,21,7,1.36,3,2,+1,+0.27,+0.35,5.9,5.1,+0.8,+0.21,+0.35,Matches,CURRENT
Federico Fazio,ar ARG,DF,Roma,it Serie A,33,1987,6,5,406,4.5,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.2,4,20,2,0.22,0.00,0.22,0.22,0.22,0.04,0.02,0.05,0.04,0.05,Matches,4.5,3,2,3,0,0,3,4,75.0,1,3,3,0,7,10,18,1,3,0.67,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,4.5,2,0,6,3,0,4,7,2,0,1,0,20,17,12,58.6,Matches,1,3,2,66.7,0.67,0.44,0.33,0.50,11.4,0,0,0,0.2,0.05,+0.8,+0.8,Matches,4.5,272,317,85.8,4679,1442,129,139,92.8,122,134,91.0,18,35,51.4,0,0.1,0.1,-0.1,1,22,1,0,20,361,40,136,197,32,6,361,3,3,100.0,0,0.0,191,1087,751,4,9,0,2,1,252,2,Matches,68,11.9,80,3,1,4,17,1.17,5,8,-3,-0.67,-1.05,5.4,8.9,-3.5,-0.78,-1.47,Matches,CURRENT
Nabil Fekir,fr FRA,"MF,FW",Betis,es La Liga,27,1993,33,33,"2,622",29.1,5,6,11,4,1,3,5,1,7.0,4.6,5.2,9.8,103,152,182,0.17,0.21,0.38,0.14,0.34,0.24,0.18,0.42,0.16,0.34,Matches,29.1,45,23,9,22,14,7,43,16.3,36,31,2,29,8,53,2,0,148,5.08,85,19,20,9,12,3,19,0.65,11,3,2,0,2,1,Matches,29.1,5,0,79,93,13,115,8,23,3,0,0,103,26,61,29.9,Matches,5,83,24,28.9,2.85,0.82,0.05,0.17,21.9,9,1,3,7.0,0.06,-2.0,-0.6,Matches,29.1,1048,1309,80.1,15519,4235,555,611,90.8,325,399,81.5,85,155,54.8,6,5.2,5.5,+0.8,51,105,43,7,152,1669,4,83,723,891,106,1666,117,85,72.6,32,27.4,1053,6519,3165,103,88,39,78,83,1323,182,Matches,79,76.7,79,17,0,,0,1.64,39,37,+2,+0.07,+0.29,38.6,32.5,+6.1,+0.21,+0.65,Matches,CURRENT
Felipe,br BRA,DF,Atlético Madrid,es La Liga,31,1989,31,23,"2,057",22.9,0,0,0,0,0,0,8,0,1.5,1.5,0.3,1.8,5,36,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches,22.9,29,17,19,10,0,18,23,78.3,5,30,15,15,36,65,128,2,11,0.48,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,22.9,8,0,29,14,0,1,36,17,0,0,1,126,75,26,74.3,Matches,0,12,2,16.7,0.53,0.09,0.00,0.00,9.8,0,0,0,1.5,0.12,-1.5,-1.5,Matches,22.9,889,1054,84.3,16048,5921,336,377,89.1,438,498,88.0,87,138,63.0,0,0.3,0.5,-0.3,4,26,0,0,36,1301,185,669,603,39,24,1301,3,3,100.0,0,0.0,701,3635,1638,5,2,0,3,1,753,3,Matches,66,60.1,86,20,8,10,6,2.29,36,18,+18,+0.79,-0.80,29.3,25.0,+4.3,+0.19,-0.57,Matches,CURRENT
Luiz Felipe,it ITA,DF,Lazio,it Serie A,23,1997,14,10,909,10.1,0,0,0,0,0,0,5,0,0.3,0.3,0.3,0.5,9,29,2,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches,10.1,32,20,19,11,2,16,24,66.7,8,20,9,11,21,53,29,1,9,0.89,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,10.1,5,0,14,8,1,2,21,20,0,0,0,58,14,16,46.7,Matches,0,4,0,0.0,0.40,0.00,0.00,,14.0,0,0,0,0.3,0.07,-0.3,-0.3,Matches,10.1,500,548,91.2,9562,2810,173,188,92.0,271,288,94.1,51,62,82.3,0,0.3,0.2,-0.3,3,36,2,1,29,669,62,305,333,35,4,669,5,2,40.0,3,60.0,400,2810,1410,9,6,0,7,2,445,2,Matches,65,26.6,77,4,4,35,2,1.79,19,12,+7,+0.69,+0.73,12.9,11.1,+1.8,+0.18,-0.15,Matches,CURRENT
João Félix,pt POR,"FW,MF",Atlético Madrid,es La Liga,20,1999,31,14,"1,572",17.5,7,5,12,6,1,2,6,0,5.5,3.9,4.3,8.1,49,73,94,0.40,0.29,0.69,0.34,0.63,0.31,0.24,0.56,0.22,0.47,Matches,17.5,8,4,1,6,1,4,17,23.5,13,3,0,3,5,13,2,0,46,2.63,32,0,5,5,4,0,11,0.63,8,0,1,1,1,0,Matches,17.5,6,0,16,48,5,11,5,4,1,0,0,63,21,31,40.4,Matches,7,37,15,40.5,2.12,0.86,0.16,0.40,19.4,2,1,2,5.5,0.10,+1.5,+2.1,Matches,17.5,567,689,82.3,7174,2182,357,397,89.9,108,136,79.4,36,51,70.6,5,4.3,2.6,+0.7,21,55,16,0,73,865,6,67,429,376,54,863,60,30,50.0,30,50.0,578,3145,1640,49,54,10,40,34,749,94,Matches,51,46.0,73,3,17,33,0,2.26,33,14,+19,+1.09,-0.03,27.3,16.3,+11.0,+0.63,+0.40,Matches,CURRENT
Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,22,1997,29,29,"2,610",29.0,1,0,1,1,0,0,5,0,1.7,1.7,0.3,2.0,21,94,13,0.03,0.00,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07,Matches,29.0,33,24,19,10,4,18,27,66.7,9,48,25,23,54,87,164,2,16,0.55,13,1,0,1,0,1,2,0.07,2,0,0,0,0,0,Matches,29.0,5,0,23,25,0,5,54,24,0,1,1,143,100,51,66.2,Matches,1,13,3,23.1,0.45,0.10,0.08,0.33,12.3,0,0,0,1.7,0.13,-0.7,-0.7,Matches,29.0,1215,1491,81.5,23316,8271,452,522,86.6,615,683,90.0,139,239,58.2,0,0.3,1.0,-0.3,3,73,5,2,94,1858,279,1029,768,77,29,1858,19,15,78.9,4,21.1,1064,5880,3331,21,9,4,17,10,1103,13,Matches,90,85.3,90,29,0,,0,1.14,28,42,-14,-0.48,+0.32,28.7,46.5,-17.8,-0.61,-0.18,Matches,CURRENT
Zinedine Ferhat,dz ALG,"FW,MF",Nîmes,fr Ligue 1,27,1993,33,33,"2,957",32.9,6,10,16,5,1,1,2,0,5.9,5.1,6.5,11.6,92,121,266,0.18,0.30,0.49,0.15,0.46,0.18,0.20,0.38,0.15,0.35,Matches,32.9,36,21,18,9,9,18,39,46.2,21,22,0,22,32,68,38,0,111,3.38,73,9,14,4,10,1,20,0.61,14,0,2,1,3,0,Matches,32.9,2,0,23,66,9,124,32,21,3,0,0,145,71,67,51.4,Matches,6,61,22,36.1,1.86,0.67,0.08,0.23,20.0,5,1,1,5.9,0.08,+0.1,-0.1,Matches,32.9,819,1242,65.9,12967,3865,433,550,78.7,251,390,64.4,84,180,46.7,10,6.5,5.4,+3.5,50,77,49,15,121,1686,43,227,700,780,109,1685,128,64,50.0,64,50.0,982,5803,2524,92,73,37,88,48,1242,266,Matches,90,86.5,90,30,0,,0,0.97,39,61,-22,-0.67,+1.08,39.2,55.1,-15.9,-0.49,+0.48,Matches,CURRENT
Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,25,1994,37,35,"3,099",34.4,18,12,30,9,9,10,6,0,16.1,8.2,11.4,19.6,80,285,263,0.52,0.35,0.87,0.26,0.61,0.47,0.33,0.80,0.24,0.57,Matches,34.4,57,30,16,29,12,26,100,26.0,74,38,0,38,26,83,29,0,184,5.34,136,21,3,14,9,1,25,0.73,22,1,0,2,0,0,Matches,34.4,6,0,43,52,3,166,26,30,0,1,0,162,15,41,26.8,Matches,18,111,40,36.0,3.22,1.16,0.08,0.23,22.9,16,9,10,16.1,0.07,+1.9,+0.8,Matches,34.4,1734,2339,74.1,29654,8587,872,1009,86.4,560,728,76.9,218,366,59.6,12,11.4,9.7,+0.6,95,193,90,8,285,2710,40,284,1165,1279,124,2700,45,23,51.1,22,48.9,1497,6477,3529,80,76,10,56,37,2064,263,Matches,84,90.6,87,23,2,29,0,1.92,68,36,+32,+0.93,+1.77,55.6,35.0,+20.5,+0.60,+1.15,Matches,CURRENT
Edimilson Fernandes,ch SUI,"MF,FW",Mainz 05,de Bundesliga,24,1996,14,9,841,9.3,0,1,1,0,0,0,1,0,0.5,0.5,1.3,1.8,6,23,19,0.00,0.11,0.11,0.00,0.11,0.05,0.14,0.20,0.05,0.20,Matches,9.3,8,4,4,4,0,4,7,57.1,3,12,4,8,29,37,25,0,20,2.14,14,5,0,1,0,0,1,0.11,0,1,0,0,0,0,Matches,9.3,1,0,7,5,1,26,29,4,0,0,0,62,6,5,54.5,Matches,0,12,4,33.3,1.28,0.43,0.00,0.00,23.2,0,0,0,0.5,0.04,-0.5,-0.5,Matches,9.3,266,362,73.5,4828,1822,126,154,81.8,106,129,82.2,30,62,48.4,1,1.3,1.2,-0.3,12,21,6,2,23,462,34,126,241,98,5,462,5,3,60.0,2,40.0,244,1074,450,6,6,0,12,14,266,19,Matches,60,27.5,79,4,5,26,3,0.64,10,17,-7,-0.75,-0.34,15.5,15.3,+0.2,+0.02,+0.12,Matches,CURRENT
Aitor Fernández,es ESP,GK,Levante,es La Liga,29,1991,29,29,"2,610",29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,29.0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,1,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,29.0,0,0,0,2,0,0,2,0,0,0,0,51,3,1,75.0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,,0.0,0.0,Matches,29.0,709,928,76.4,17493,12539,166,168,98.8,335,342,98.0,191,400,47.8,0,0.0,0.0,0.0,0,6,0,0,0,990,856,983,7,0,0,990,1,0,0.0,1,100.0,512,2232,1503,0,0,0,1,0,425,0,Matches,90,76.3,90,29,0,,7,1.21,38,44,-6,-0.21,+0.35,33.6,36.2,-2.6,-0.09,+1.07,Matches,CURRENT
Álex Fernández,es ESP,MF,Cádiz,es La Liga,27,1992,25,21,"1,946",21.6,4,1,5,2,2,2,1,0,3.3,1.8,1.5,3.2,26,104,43,0.18,0.05,0.23,0.09,0.14,0.15,0.07,0.22,0.08,0.15,Matches,21.6,19,9,8,8,3,8,30,26.7,22,14,1,13,22,41,15,0,51,2.36,27,23,0,0,1,0,5,0.23,3,2,0,0,0,0,Matches,21.6,1,0,11,31,0,123,22,9,0,0,0,130,21,22,48.8,Matches,4,8,2,25.0,0.37,0.09,0.25,1.00,19.3,0,2,2,3.3,0.22,+0.7,+0.2,Matches,21.6,692,936,73.9,12283,3707,307,353,87.0,271,332,81.6,86,183,47.0,1,1.5,1.9,-0.5,23,66,13,5,104,1086,26,194,587,322,16,1084,22,15,68.2,7,31.8,537,2738,1188,26,21,3,33,16,628,43,Matches,78,56.9,86,14,4,33,0,1.16,21,29,-8,-0.37,+0.48,21.2,24.3,-3.1,-0.14,+0.93,Matches,CURRENT
Álvaro Fernández,es ESP,GK,Huesca,es La Liga,22,1998,22,22,"1,980",22.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,22.0,1,1,0,1,0,1,3,33.3,2,0,0,0,2,3,7,0,6,0.27,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,22.0,0,0,0,3,0,0,2,1,0,0,0,31,5,0,100.0,Matches,0,1,0,0.0,0.05,0.00,0.00,,17.8,0,0,0,0.1,0.05,-0.1,-0.1,Matches,22.0,615,816,75.4,17429,11546,95,96,99.0,283,286,99.0,231,420,55.0,0,0.0,0.0,0.0,1,9,0,0,0,869,740,862,5,2,2,869,0,0,,0,,415,1898,1180,0,0,0,0,0,416,0,Matches,90,57.9,90,22,0,,16,0.91,21,32,-11,-0.50,0.00,24.3,29.7,-5.3,-0.24,+0.02,Matches,CURRENT
Andrés Fernández,es ESP,GK,Huesca,es La Liga,33,1986,16,16,"1,440",16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,16.0,0,0,0,4,0,0,0,0,0,0,0,18,3,1,75.0,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,,0.0,0.0,Matches,16.0,395,574,68.8,10689,7767,72,72,100.0,201,205,98.0,119,286,41.6,0,0.0,0.0,0.0,0,4,0,0,0,602,543,600,2,0,0,602,3,3,100.0,0,0.0,306,1232,769,0,0,0,1,0,280,0,Matches,90,42.1,90,16,0,,19,0.88,13,21,-8,-0.50,0.00,14.5,18.7,-4.2,-0.26,-0.02,Matches,CURRENT
Augusto Fernández,ar ARG,MF,Cádiz,es La Liga,34,1986,12,4,369,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,17,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4.1,11,3,5,6,0,2,13,15.4,11,5,1,4,9,20,5,0,5,1.22,3,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches,4.1,1,0,5,2,0,1,9,3,0,0,0,20,4,3,57.1,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,,0.0,0.0,Matches,4.1,91,119,76.5,1572,415,38,50,76.0,42,48,87.5,7,13,53.8,0,0.0,0.0,0.0,0,10,1,0,17,160,8,48,104,12,1,160,3,2,66.7,1,33.3,73,390,167,2,2,1,6,5,68,3,Matches,31,10.8,65,0,8,14,11,1.50,4,9,-5,-1.22,-0.72,2.9,7.1,-4.2,-1.02,-0.53,Matches,CURRENT
Carlos Fernández,es ESP,FW,Sevilla,es La Liga,24,1996,5,2,143,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.7,0.9,3,3,10,0.00,0.00,0.00,0.00,0.00,0.12,0.43,0.55,0.12,0.55,Matches,1.6,1,0,1,0,0,0,2,0.0,2,3,1,2,1,2,0,0,4,2.52,2,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,1.6,0,0,4,7,0,0,1,0,0,0,0,7,4,8,33.3,Matches,0,2,1,50.0,1.26,0.63,0.00,0.00,7.6,0,0,0,0.2,0.10,-0.2,-0.2,Matches,1.6,28,38,73.7,301,59,19,22,86.4,6,11,54.5,0,0,,0,0.7,0.0,-0.7,2,2,0,0,3,53,1,6,27,20,4,53,3,2,66.7,1,33.3,32,172,100,3,1,1,4,2,42,10,Matches,29,4.2,56,0,3,10,5,0.80,1,0,+1,+0.63,+0.11,2.5,1.4,+1.1,+0.72,+0.21,Matches,CURRENT
Carlos Fernández,es ESP,"FW,MF",Real Sociedad,es La Liga,24,1996,11,4,390,4.3,1,2,3,1,0,0,5,0,1.1,1.1,0.7,1.8,3,10,33,0.23,0.46,0.69,0.23,0.69,0.26,0.16,0.41,0.26,0.41,Matches,4.3,3,2,0,2,1,1,8,12.5,7,6,1,5,0,3,6,0,10,2.30,8,0,1,0,1,0,2,0.46,2,0,0,0,0,0,Matches,4.3,5,0,18,9,0,3,0,2,0,1,0,21,13,20,39.4,Matches,1,7,4,57.1,1.62,0.92,0.14,0.25,14.0,0,0,0,1.1,0.16,-0.1,-0.1,Matches,4.3,74,115,64.3,970,250,44,63,69.8,21,30,70.0,3,6,50.0,2,0.7,0.3,+1.3,6,5,3,0,10,175,7,22,91,63,13,175,10,4,40.0,6,60.0,101,416,140,3,3,2,19,8,127,33,Matches,35,11.4,73,0,7,14,1,1.73,8,7,+1,+0.23,-0.36,7.2,7.9,-0.6,-0.14,-0.80,Matches,CURRENT
Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,31,1989,24,24,"2,079",23.1,0,0,0,0,0,0,4,0,0.3,0.3,0.6,0.8,1,32,7,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,23.1,29,22,23,5,1,17,21,81.0,4,41,31,10,17,46,147,0,15,0.65,11,4,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,23.1,4,0,15,15,0,13,17,22,0,1,1,91,48,29,62.3,Matches,0,4,2,50.0,0.17,0.09,0.00,0.00,14.0,0,0,0,0.3,0.06,-0.3,-0.3,Matches,23.1,715,894,80.0,13956,5356,244,277,88.1,368,412,89.3,91,166,54.8,0,0.6,0.4,-0.6,7,25,3,3,32,1169,268,719,377,76,14,1169,1,0,0.0,1,100.0,553,2133,858,1,0,0,8,2,619,7,Matches,87,60.8,87,20,0,,3,1.33,31,38,-7,-0.30,+0.30,26.9,37.7,-10.8,-0.47,-0.20,Matches,CURRENT
Joaquín Fernández,es ESP,DF,Valladolid,es La Liga,24,1996,25,24,"2,073",23.0,1,0,1,1,0,0,8,0,1.4,1.4,0.5,1.9,0,42,2,0.04,0.00,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,Matches,23.0,30,16,21,8,1,12,21,57.1,9,24,15,9,43,73,113,0,15,0.65,11,0,0,2,1,1,2,0.09,1,0,0,0,1,0,Matches,23.0,8,0,28,13,3,1,43,16,1,1,0,101,46,53,46.5,Matches,1,8,3,37.5,0.35,0.13,0.13,0.33,8.7,0,0,0,1.4,0.17,-0.4,-0.4,Matches,23.0,615,778,79.0,12770,4844,196,223,87.9,307,362,84.8,106,177,59.9,0,0.5,0.1,-0.5,2,35,2,0,42,1022,173,604,387,36,12,1022,1,1,100.0,0,0.0,494,2189,973,0,2,1,5,6,526,2,Matches,83,60.6,85,20,1,28,4,0.96,23,36,-13,-0.56,+0.10,24.8,31.2,-6.4,-0.28,+0.15,Matches,CURRENT
