player,nationality,position,team,comp_level,age,birth_year,games,playing_games_starts,playing_minutes,playing_minutes_90s,playing_goals,performance_assists,performance_goals_assists,performance_goals_pens,performance_pens_made,performance_pens_att,performance_cards_yellow,performance_cards_red,performance_xg,expected_npxg,expected_xg_assist,expected_npxg_xg_assist,expected_progressive_carries,progression_progressive_passes,progression_progressive_passes_received,progression_goals_per90,per90_assists_per90,per90_goals_assists_per90,per90_goals_pens_per90,per90_goals_assists_pens_per90,per90_xg_per90,per90_xg_assist_per90,per90_xg_xg_assist_per90,per90_npxg_per90,per90_npxg_xg_assist_per90,per90_matches,minutes_90s,tackles,tackles_tackles_won,tackles_tackles_def_3rd,tackles_tackles_mid_3rd,tackles_tackles_att_3rd,tackles_challenge_tackles,challenges_challenges,challenges_challenge_tackles_pct,challenges_challenges_lost,challenges_blocks,blocks_blocked_shots,blocks_blocked_passes,blocks_interceptions,tackles_interceptions,clearances,errors,sca,sca_sca_per90,sca_sca_passes_live,sca_types_sca_passes_dead,sca_types_sca_take_ons,sca_types_sca_shots,sca_types_sca_fouled,sca_types_sca_defense,sca_types_gca,gca_gca_per90,gca_gca_passes_live,gca_types_gca_passes_dead,gca_types_gca_take_ons,gca_types_gca_shots,gca_types_gca_fouled,gca_types_gca_defense,gca_types_matches,minutes_90s,cards_yellow,performance_cards_yellow_red,performance_fouls,performance_fouled,performance_offsides,performance_crosses,performance_interceptions,performance_tackles_won,performance_pens_won,performance_pens_conceded,performance_own_goals,performance_ball_recoveries,performance_aerials_won,aerials_aerials_lost,aerials_aerials_won_pct,aerials_matches,goals,standard_shots,standard_shots_on_target,standard_shots_on_target_pct,standard_shots_per90,standard_shots_on_target_per90,standard_goals_per_shot,standard_goals_per_shot_on_target,standard_average_shot_distance,standard_shots_free_kicks,standard_pens_made,standard_pens_att,standard_xg,expected_npxg_per_shot,expected_xg_net,expected_npxg_net,expected_matches,minutes_90s,passes_completed,passes_total_passes,passes_total_passes_pct,passes_total_passes_total_distance,passes_total_passes_progressive_distance,passes_total_passes_completed_short,passes_short_passes_short,passes_short_passes_pct_short,passes_short_passes_completed_medium,passes_medium_passes_medium,passes_medium_passes_pct_medium,passes_medium_passes_completed_long,passes_long_passes_long,passes_long_passes_pct_long,passes_long_assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,touches,touches_touches_def_pen_area,touches_touches_def_3rd,touches_touches_mid_3rd,touches_touches_att_3rd,touches_touches_att_pen_area,touches_touches_live_ball,touches_take_ons,take_ons_take_ons_won,take_ons_take_ons_won_pct,take_ons_take_ons_tackled,take_ons_take_ons_tackled_pct,take_ons_carries,carries_carries_distance,carries_carries_progressive_distance,carries_progressive_carries,carries_carries_into_final_third,carries_carries_into_penalty_area,carries_miscontrols,carries_dispossessed,carries_passes_received,receiving_progressive_passes_received,receiving_matches,playing_minutes_per_game,playing_minutes_pct,starts_minutes_per_start,starts_games_complete,starts_games_subs,subs_minutes_per_sub,subs_unused_subs,subs_points_per_game,team_success_on_goals_for,team_success_on_goals_against,team_success_plus_minus,team_success_plus_minus_per90,team_success_plus_minus_wowy,team_success_on_xg_for,xg_team_success_on_xg_against,xg_team_success_xg_plus_minus,xg_team_success_xg_plus_minus_per90,xg_team_success_xg_plus_minus_wowy,xg_team_success_matches,year_of_stat
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,14,14,"1,222",13.6,1,0,1,1,0,0,5,1,0.6,0.6,0.4,1.0,12,55,21,0.07,0.00,0.07,0.07,0.07,0.04,0.03,0.07,0.04,0.07,Matches,13.6,18,12,13,3,2,11,17,64.7,6,13,4,9,17,35,34,0,5,0.37,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,13.6,5,1,9,6,1,13,17,12,0,0,0,76,31,18,63.3,Matches,1,10,2,20.0,0.74,0.15,0.10,0.50,15.9,0,0,0,0.6,0.06,+0.4,+0.4,Matches,13.6,558,678,82.3,10633,3990,214,239,89.5,280,325,86.2,60,95,63.2,0,0.4,0.5,-0.4,2,50,3,1,55,792,50,293,425,83,8,792,5,4,80.0,1,20.0,367,1776,1030,12,8,1,7,1,441,21,Matches,87,39.9,87,12,0,,0,1.64,25,17,+8,+0.59,+0.20,24.9,15.8,+9.1,+0.67,+0.55,Matches,CURRENT
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,22,12,"1,040",11.6,6,1,7,6,0,0,0,0,5.9,5.9,0.7,6.6,12,11,66,0.52,0.09,0.61,0.52,0.61,0.51,0.06,0.57,0.51,0.57,Matches,11.6,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,0,17,1.47,9,0,2,4,2,0,2,0.17,1,0,0,0,1,0,Matches,11.6,0,0,22,12,4,6,5,5,1,0,0,28,38,28,57.6,Matches,6,32,13,40.6,2.77,1.13,0.19,0.46,10.7,0,0,0,5.9,0.18,+0.1,+0.1,Matches,11.6,149,211,70.6,1714,297,85,111,76.6,33,46,71.7,4,8,50.0,1,0.7,0.2,+0.3,9,14,1,0,11,358,20,35,171,154,61,358,18,6,33.3,12,66.7,154,694,266,12,5,8,33,7,239,66,Matches,47,30.4,74,7,10,15,8,1.77,23,12,+11,+0.95,+0.54,20.0,8.2,+11.8,+1.02,+0.25,Matches,CURRENT
Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,5,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0.7,1,1,1,0,0,0,0,,0,1,1,0,2,3,1,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0.7,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3,Matches,0,0,0,,0.00,0.00,,,,0,0,0,0.0,,0.0,0.0,Matches,0.7,18,23,78.3,258,20,11,14,78.6,4,5,80.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,0,30,3,12,14,4,0,30,0,0,,0,,18,102,47,1,2,1,1,1,16,1,Matches,12,2.0,,0,5,12,7,2.40,1,1,0,0.00,0.00,1.0,1.3,-0.3,-0.44,-0.24,Matches,CURRENT
Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,14,2,441,4.9,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,15,28,19,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.07,0.06,0.07,Matches,4.9,6,4,1,4,1,2,7,28.6,5,4,1,3,4,10,4,0,8,1.63,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,4.9,2,0,10,12,1,7,4,4,0,0,0,31,3,5,37.5,Matches,0,9,0,0.0,1.84,0.00,0.00,,25.8,1,0,0,0.3,0.03,-0.3,-0.3,Matches,4.9,185,223,83.0,3437,574,79,86,91.9,83,100,83.0,19,27,70.4,0,0.0,0.2,0.0,1,20,2,0,28,282,8,39,147,102,4,282,16,10,62.5,6,37.5,187,1191,444,15,14,1,12,12,206,19,Matches,32,12.9,90,1,12,22,9,0.86,8,12,-4,-0.82,-0.33,6.1,9.3,-3.2,-0.64,-0.18,Matches,CURRENT
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,32,32,"2,813",31.3,0,1,1,0,0,0,9,1,1.1,1.1,1.0,2.1,41,141,46,0.00,0.03,0.03,0.00,0.03,0.03,0.03,0.07,0.03,0.07,Matches,31.3,51,32,34,13,4,18,40,45.0,22,24,15,9,76,127,121,2,31,0.99,26,1,0,2,0,2,5,0.16,5,0,0,0,0,0,Matches,31.3,9,1,31,24,2,32,76,32,0,0,0,227,62,25,71.3,Matches,0,9,0,0.0,0.29,0.00,0.00,,13.1,0,0,0,1.1,0.12,-1.1,-1.1,Matches,31.3,1854,2097,88.4,35641,11589,703,767,91.7,880,930,94.6,248,352,70.5,1,1.0,1.4,0.0,10,110,21,10,141,2430,309,1122,1136,191,22,2430,8,6,75.0,2,25.0,1410,8649,4938,41,42,2,21,10,1565,46,Matches,88,82.3,88,30,0,,0,1.88,51,44,+7,+0.22,+0.37,48.6,39.2,+9.3,+0.30,+0.08,Matches,CURRENT
Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,7,0,100,1.1,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,3,3,12,0.90,0.00,0.90,0.90,0.90,0.13,0.00,0.13,0.13,0.13,Matches,1.1,2,0,0,1,1,0,0,,0,1,0,1,1,3,1,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1.1,1,0,5,1,1,1,1,0,0,0,0,3,9,7,56.3,Matches,1,2,1,50.0,1.80,0.90,0.50,1.00,13.7,0,0,0,0.1,0.07,+0.9,+0.9,Matches,1.1,19,32,59.4,222,43,12,17,70.6,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,53,1,2,27,25,10,53,0,0,,0,,17,109,34,3,4,1,7,2,36,12,Matches,14,3.3,,0,7,14,3,2.29,4,1,+3,+2.70,+2.30,1.9,2.2,-0.2,-0.22,-0.58,Matches,CURRENT
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,30,26,"2,330",25.9,1,2,3,1,0,0,5,0,1.0,1.0,2.6,3.6,65,114,133,0.04,0.08,0.12,0.04,0.12,0.04,0.10,0.14,0.04,0.14,Matches,25.9,62,42,34,20,8,23,41,56.1,18,23,2,21,23,85,30,1,68,2.63,47,12,6,2,0,1,8,0.31,5,2,0,1,0,0,Matches,25.9,5,0,45,32,2,119,23,42,0,2,0,160,20,33,37.7,Matches,1,18,2,11.1,0.70,0.08,0.06,0.50,20.5,0,0,0,1.0,0.05,0.0,0.0,Matches,25.9,1415,1767,80.1,24839,9704,675,730,92.5,542,639,84.8,159,310,51.3,2,2.6,2.9,-0.6,32,104,35,19,114,2019,61,661,878,502,30,2019,61,41,67.2,20,32.8,1103,5721,3242,65,50,12,40,29,1330,133,Matches,78,68.1,83,22,4,46,1,1.97,37,28,+9,+0.35,-0.56,41.1,23.8,+17.3,+0.67,+0.48,Matches,CURRENT
Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,36,30,"2,667",29.6,9,5,14,9,0,0,1,0,9.8,9.8,5.0,14.8,32,57,149,0.30,0.17,0.47,0.30,0.47,0.33,0.17,0.50,0.33,0.50,Matches,29.6,25,16,4,15,6,6,17,35.3,11,20,2,18,4,29,19,1,68,2.29,50,0,2,7,9,0,7,0.24,6,0,0,0,1,0,Matches,29.6,1,0,30,55,19,6,4,16,0,0,0,84,53,133,28.5,Matches,9,55,31,56.4,1.86,1.05,0.16,0.29,13.8,0,0,0,9.8,0.18,-0.8,-0.8,Matches,29.6,431,622,69.3,6240,1416,228,308,74.0,125,162,77.2,34,49,69.4,5,5.0,3.0,0.0,37,35,23,1,57,926,24,98,403,439,97,926,50,28,56.0,22,44.0,516,2336,900,32,28,13,88,44,713,149,Matches,74,78.0,84,16,6,25,0,1.11,39,51,-12,-0.40,+0.67,32.1,37.4,-5.3,-0.18,+0.60,Matches,CURRENT
Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,27,21,"1,850",20.6,1,1,2,1,0,0,3,0,1.3,1.3,0.9,2.2,27,113,70,0.05,0.05,0.10,0.05,0.10,0.07,0.04,0.11,0.07,0.11,Matches,20.6,35,24,12,15,8,17,31,54.8,14,22,5,17,29,64,30,0,37,1.80,31,0,0,0,3,3,3,0.15,2,0,0,0,0,1,Matches,20.6,3,0,29,29,2,19,29,24,0,0,0,169,21,13,61.8,Matches,1,7,4,57.1,0.34,0.19,0.14,0.25,17.6,0,0,0,1.3,0.19,-0.3,-0.3,Matches,20.6,1173,1375,85.3,17415,5037,670,730,91.8,394,456,86.4,65,108,60.2,1,0.9,1.5,+0.1,14,97,24,3,113,1591,47,327,964,313,19,1591,26,15,57.7,11,42.3,901,4292,1941,27,31,3,37,14,1056,70,Matches,69,60.5,83,13,6,20,1,2.11,35,19,+16,+0.78,-0.11,37.0,18.7,+18.2,+0.89,-0.36,Matches,CURRENT
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,18,3,479,5.3,2,3,5,2,0,0,2,0,2.1,2.1,2.3,4.5,20,17,58,0.38,0.56,0.94,0.38,0.94,0.40,0.44,0.84,0.40,0.84,Matches,5.3,9,4,4,3,2,7,14,50.0,7,2,0,2,6,15,1,0,22,4.12,15,1,2,2,2,0,6,1.12,4,0,0,2,0,0,Matches,5.3,2,0,5,8,3,10,6,4,0,0,0,20,11,11,50.0,Matches,2,23,7,30.4,4.32,1.32,0.09,0.29,15.3,0,0,0,2.1,0.10,-0.1,-0.1,Matches,5.3,103,156,66.0,1445,379,61,80,76.3,29,41,70.7,7,11,63.6,3,2.3,0.9,+0.7,11,5,7,2,17,226,2,20,63,146,38,226,7,3,42.9,4,57.1,151,1099,514,20,16,3,14,6,176,58,Matches,27,15.7,77,1,15,16,6,1.50,13,6,+7,+1.32,+1.63,11.1,10.4,+0.7,+0.13,+0.20,Matches,CURRENT
